Version, File Name, LOC, NAuth, Fan-Out, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Time Span (days), Buggy
1, storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java, 598, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/testing/StringLength.java, 15, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java, 340, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java, 78, 2, 17, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/task/IErrorReporter.java, 5, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/MemoryTransactionalSpoutMeta.java, 21, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/planner/processor/AppendCollector.java, 45, 2, 8, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java, 28, 2, 3, 6, 60, 28, 10.0, 63, 28, 10.5, 28, false
1, storm-core/src/jvm/storm/trident/operation/builtin/Debug.java, 22, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/transactional/partitioned/PartitionedTransactionalSpoutExecutor.java, 125, 2, 11, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/NimbusClient.java, 37, 2, 7, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/operation/TridentOperationContext.java, 48, 2, 10, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/spout/ITridentSpout.java, 77, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/tuple/TupleImpl.java, 334, 2, 16, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java, 165, 3, 17, 5, 46, 23, 9.2, 44, 22, 8.8, 154, false
1, storm-core/src/jvm/backtype/storm/generated/SpoutStats.java, 756, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/nimbus/DefaultTopologyValidator.java, 14, 3, 3, 7, 9, 4, 1.2857143, 6, 3, 0.85714287, 120, false
1, storm-core/src/jvm/backtype/storm/transactional/TransactionalSpoutCoordinator.java, 200, 2, 17, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/utils/CRC32OutputStream.java, 27, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
