Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java, 206, 4, 0, 4, 10222, 1734, 5.301867, 11795, 1732, 6.1177387, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java, 272, 4, 0, 4, 10785, 1734, 5.836039, 12474, 1732, 6.75, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java, 102, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java, 71, 3, 0, 3, 51299, 1734, 25.295364, 52972, 1732, 26.120316, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java, 515, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java, 55, 3, 0, 3, 12185, 1734, 6.8072624, 14074, 1732, 7.86257, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java, 112, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java, 65, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java, 89, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/util/Option.java, 44, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java, 430, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java, 75, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java, 95, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java, 337, 6, 0, 6, 51840, 1734, 22.837004, 53244, 1732, 23.455507, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java, 155, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java, 235, 6, 0, 6, 14257, 1734, 6.2613087, 15742, 1732, 6.9134827, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java, 129, 5, 0, 5, 51790, 1734, 22.895668, 53228, 1732, 23.531387, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java, 763, 12, 0, 12, 16895, 1734, 6.525686, 19010, 1732, 7.342603, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java, 150, 3, 0, 3, 51545, 1734, 23.87448, 53097, 1732, 24.59333, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java, 32, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java, 95, 1, 0, 1, 2534, 514, 18.910448, 2646, 514, 19.74627, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java, 55, 3, 0, 3, 52452, 1734, 24.706547, 54138, 1732, 25.500706, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java, 64, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, false
